Severity,Marker Colour,Number of Vehicles,Number of Casualties,Date,Day,a_date_mon,Time Hour,Time Minutes,Road Class,road_type,speed_limi,junc_det,junc_ctrl,road2_class,light_cond,weather,road_surf,Postcode,Latitude,Longitude
Serious,large_blue,2,1,5/12/2009,Tuesday,May,8,50,A,Single carriageway - 2 lanes,30,Crossroads,Automatic Traffic Signal,Unclassified,Daylight: street lights present,Fine (without high winds),Dry,EH66RA,55.975513,-3.170172
Serious,large_blue,2,1,5/25/2009,Monday,May,17,18,Unclassified,Single carriageway - 2 lanes,30,Crossroads,Give way sign or markings,C,Daylight: street lights present,Fine (without high winds),Dry,EH93AB,55.928858,-3.180801
Serious,large_blue,2,1,6/6/2009,Saturday,June,9,38,Unclassified,Single carriageway - 2 lanes,30,Crossroads,Automatic Traffic Signal,A,Daylight: street lights present,Fine (without high winds),Dry,EH39BH,55.945619,-3.203712
Serious,large_blue,2,1,6/12/2009,Friday,June,19,20,Unclassified,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,Daylight: street lights present,Fine (without high winds),Dry,EH36AS,55.953237,-3.211188
Serious,large_blue,2,1,6/24/2009,Wednesday,June,18,10,A,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,Daylight: street lights present,Fine (without high winds),Dry,EH87HZ,55.951097,-3.144645
Serious,large_blue,2,1,7/2/2009,Thursday,July,8,10,Unclassified,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,Daylight: street lights present,Fine (without high winds),Dry,EH92LD,55.9303,-3.187807
Serious,large_blue,2,1,7/3/2009,Friday,July,16,30,Unclassified,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,Daylight: no street lighting,Other,Dry,EH166DE,55.915844,-3.161237
Serious,large_blue,2,1,7/13/2009,Monday,July,8,40,Unclassified,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,Daylight: street lights present,Unknown,Dry,EH38ES,55.948137,-3.209027
Serious,large_blue,2,1,7/14/2009,Tuesday,July,8,15,Unclassified,Dual carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,Daylight: no street lighting,Fine (without high winds),Dry,EH129EE,55.934629,-3.303564
Serious,large_blue,2,1,7/28/2009,Tuesday,July,17,0,C,Single carriageway - 2 lanes,30,Mini-roundabout,Give way sign or markings,C,Daylight: no street lighting,Fine (without high winds),Dry,EH11JX,55.948135,-3.193494
Serious,large_blue,2,1,8/5/2009,Wednesday,August,0,20,A,Single carriageway - 2 lanes,30,Other junction,Automatic Traffic Signal,Unclassified,Darkness: street lights present and lit,Fine (without high winds),Dry,EH91JU,55.939208,-3.191202
Serious,large_blue,1,1,8/5/2009,Wednesday,August,20,0,Unclassified,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,Daylight: street lights present,Fine (without high winds),Dry,EH87AX,55.948368,-3.158851
Serious,large_blue,3,1,8/7/2009,Friday,August,19,19,Unclassified,Single carriageway - 2 lanes,30,Crossroads,Give way sign or markings,Unclassified,Daylight: street lights present,Fine (without high winds),Dry,EH107BD,55.901928,-3.214994
Serious,large_blue,2,1,9/17/2009,Thursday,September,16,50,A,Dual carriageway - 2 lanes,50,Not at or within 20 metres of junction,unset,\,Daylight: no street lighting,Fine (without high winds),Dry,EH309XY,55.987334,-3.406117
Serious,large_blue,2,1,10/1/2009,Thursday,October,14,30,A,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,C,Daylight: no street lighting,Fine (without high winds),Dry,EH43AD,55.954894,-3.217229
Serious,large_blue,2,1,10/9/2009,Friday,October,18,25,A,Single carriageway - 2 lanes,40,Not at or within 20 metres of junction,unset,\,Darkness: street lights present and lit,Fine (without high winds),Dry,EH128XB,55.951978,-3.309705
Serious,large_blue,2,1,10/14/2009,Wednesday,October,18,30,C,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,Darkness: street lights present and lit,Fine (without high winds),Dry,EH68JG,55.966854,-3.169846
Serious,large_blue,2,1,10/15/2009,Thursday,October,20,50,Unclassified,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,Darkness: street lights present and lit,Fine (without high winds),Dry,EH105DS,55.933647,-3.212241
Serious,large_blue,2,1,10/29/2009,Thursday,October,20,0,C,Single carriageway - 2 lanes,30,Crossroads,Automatic Traffic Signal,C,Darkness: street lights present and lit,Raining (without high winds),Dry,EH21JX,55.954501,-3.199567
Serious,large_blue,2,1,11/17/2009,Tuesday,November,12,40,C,Single carriageway - 2 lanes,30,Crossroads,Automatic Traffic Signal,Unclassified,Daylight: street lights present,Fine (without high winds),Dry,EH41QL,55.965291,-3.223499
Serious,large_blue,2,1,11/20/2009,Friday,November,16,45,C,Single carriageway - 2 lanes,20,Crossroads,Authorised Person,C,Darkness: street lights present and lit,Raining (without high winds),Dry,EH21JX,55.954501,-3.199567
Serious,large_blue,2,1,11/25/2009,Wednesday,November,19,0,Unclassified,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,Darkness: no street lighting,Raining with high winds,Dry,EH87AT,55.954316,-3.157824
Serious,large_blue,2,1,12/16/2009,Wednesday,December,16,0,C,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,Daylight: street lights present,Unknown,Dry,EH11TB,55.950334,-3.185362
Serious,large_blue,2,1,1/20/2010,Wednesday,January,8,0,A,Single carriageway - 2 lanes,40,'T' or staggered junction,Give way sign or markings,Unclassified,Daylight: street lights present,Raining (without high winds),Dry,EH4 8DZ,55.960786,-3.310339
Serious,large_blue,2,1,1/20/2010,Wednesday,January,6,50,Unclassified,Single carriageway - 2 lanes,30,Other junction,Give way sign or markings,Unclassified,Darkness: street lights present and lit,Raining (without high winds),Dry,EH16 4AW ,55.933792,-3.142582
Serious,large_blue,2,1,1/28/2010,Thursday,January,16,40,A,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,Daylight: street lights present,Fine (without high winds),Dry,EH14 1LS,55.923179,-3.244672
Serious,large_blue,2,1,4/12/2010,Monday,April,12,55,A,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,Daylight: street lights present,Fine (without high winds),Dry,EH6 5HX,55.970975,-3.172999
Serious,large_blue,1,1,4/12/2010,Monday,April,11,48,A,Roundabout,40,Roundabout,Automatic Traffic Signal,A,Daylight: no street lighting,Other,Dry,EH14 4AW,55.918267,-3.315272
Serious,large_blue,2,1,5/18/2010,Tuesday,May,15,30,A,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,Daylight: street lights present,Fine (without high winds),Dry,EH12 5NJ,55.945519,-3.235589
Serious,large_blue,2,1,5/29/2010,Saturday,May,15,0,C,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,Daylight: no street lighting,Fine (without high winds),Dry,EH3 9DT,55.946293,-3.202772
Serious,large_blue,2,1,6/10/2010,Thursday,June,18,45,B,Single carriageway - 2 lanes,40,'T' or staggered junction,Give way sign or markings,Unclassified,Daylight: street lights present,Fine (without high winds),Dry,EH17 8RS,55.901599,-3.135115
Fatal,large_red,2,2,6/12/2010,Saturday,June,14,0,Unclassified,Single carriageway - 2 lanes,60,Not at or within 20 metres of junction,unset,\,Daylight: no street lighting,Fine (without high winds),Dry,EH29 9EF,55.951848,-3.42738
Serious,large_blue,2,1,6/15/2010,Tuesday,June,8,30,C,Single carriageway - 2 lanes,30,Crossroads,Give way sign or markings,Unclassified,Daylight: street lights present,Fine (without high winds),Dry,EH6 8RT,55.964684,-3.171335
Serious,large_blue,1,1,6/28/2010,Monday,June,5,40,C,One way Street,30,Other junction,Stop sign,Unclassified,Daylight: street lights present,Fine (without high winds),Dry,EH3 9DN,55.945787,-3.201219
Serious,large_blue,2,1,7/2/2010,Friday,July,9,0,A,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,Daylight: street lights present,Fine (without high winds),Dry,EH10 4HW,55.940209,-3.2038
Serious,large_blue,1,1,7/3/2010,Saturday,July,18,40,C,Single carriageway - 2 lanes,30,Other junction,Give way sign or markings,Unclassified,Daylight: street lights present,Fine (without high winds),Dry,EH9 2EA,55.930615,-3.190602
Serious,large_blue,2,1,8/6/2010,Friday,August,18,14,A,Single carriageway - 2 lanes,30,Crossroads,Automatic Traffic Signal,Unclassified,Daylight: street lights present,Fine (without high winds),Dry,EH9 2BT ,55.934055,-3.174764
Serious,large_blue,5,1,8/7/2010,Saturday,August,10,45,Unclassified,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,Daylight: street lights present,Fine (without high winds),Dry,EH1 3QR,55.957603,-3.190085
Serious,large_blue,2,1,8/11/2010,Wednesday,August,17,20,A,Roundabout,30,Roundabout,Automatic Traffic Signal,A,Daylight: street lights present,Fine (without high winds),Dry,EH12 8ND,55.941903,-3.316618
